cap-shape,cap-surface,cap-color,bruises,odor,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,spore-print-color,population,habitat,class
3,5,8,11,1,8,15,2,2,5,5,9,9,1,15,5,19,0
3,5,7,11,12,4,15,2,14,5,5,9,9,1,8,8,10,1
4,5,9,11,13,4,8,2,14,5,5,9,9,1,8,8,20,1
3,7,9,11,1,8,8,2,2,5,5,9,9,1,15,5,19,0
3,5,10,6,8,4,15,11,2,5,5,9,9,2,8,12,10,1
3,7,7,11,12,4,8,2,14,5,5,9,9,1,15,8,10,1
4,5,9,11,12,4,10,2,14,5,5,9,9,1,15,8,20,1
4,7,9,11,13,4,8,2,14,5,5,9,9,1,8,5,20,1
3,7,9,11,1,8,1,2,2,5,5,9,9,1,15,18,10,0
4,5,7,11,12,4,10,2,14,5,5,9,9,1,15,5,20,1
3,7,7,11,13,4,10,2,14,5,5,9,9,1,8,8,10,1
3,7,7,11,12,4,8,2,14,5,5,9,9,1,15,5,20,1
4,5,7,11,12,4,9,2,14,5,5,9,9,1,8,5,10,1
3,7,9,11,1,8,15,2,2,5,5,9,9,1,8,18,19,0
3,6,8,6,8,4,8,11,2,5,6,9,9,2,15,12,10,1
5,6,10,6,8,8,15,2,2,5,5,9,9,1,8,7,19,1
6,6,9,6,8,4,15,11,2,5,5,9,9,2,8,12,10,1
3,5,8,11,1,8,8,2,2,5,5,9,9,1,15,5,10,0
3,7,9,11,1,8,8,2,2,5,5,9,9,1,8,5,19,0
3,5,8,11,1,8,15,2,2,5,5,9,9,1,8,5,19,0
4,5,7,11,12,4,15,2,14,5,5,9,9,1,8,5,20,1
3,7,8,11,1,8,8,2,2,5,5,9,9,1,8,18,10,0
4,7,7,11,13,4,15,2,14,5,5,9,9,1,8,5,20,1
4,7,9,11,12,4,9,2,14,5,5,9,9,1,8,8,20,1
4,5,9,11,13,4,10,2,14,5,5,9,9,1,15,5,20,1
6,5,9,11,1,8,8,2,2,5,5,9,9,1,8,18,10,0
3,7,7,11,12,4,8,2,14,5,5,9,9,1,8,8,20,1
3,7,9,11,13,4,9,2,14,5,5,9,9,1,8,8,20,1
6,6,8,6,8,8,15,2,2,5,5,9,9,1,15,7,19,1
3,5,7,11,12,8,8,11,4,5,5,9,9,1,8,18,21,1
4,5,7,11,13,4,10,2,14,5,5,9,9,1,8,8,20,1
3,7,9,11,1,8,15,2,2,5,5,9,9,1,8,5,19,0
3,7,7,11,13,4,8,2,14,5,5,9,9,1,8,8,20,1
3,7,8,11,13,4,1,2,16,5,7,9,9,1,8,7,1,1
4,7,7,11,13,4,8,2,14,5,5,9,9,1,8,5,20,1
3,6,7,11,13,8,9,11,4,5,5,9,9,1,8,18,21,1
5,6,10,6,8,8,15,2,2,5,5,9,9,1,15,18,19,1
3,7,8,11,1,8,9,2,2,5,5,9,9,1,8,5,19,0
3,6,7,11,12,8,1,11,4,5,5,9,9,1,8,18,21,1
4,5,7,11,13,4,15,2,14,5,5,9,9,1,15,5,20,1
4,7,7,11,12,4,8,2,14,5,5,9,9,1,8,5,10,1
3,7,7,11,13,4,8,2,16,5,7,9,9,1,15,7,1,1
3,6,8,6,8,8,10,2,2,5,5,9,9,1,15,7,19,1
3,7,9,11,1,8,1,2,2,5,5,9,9,1,8,18,10,0
3,5,7,11,12,4,9,2,14,5,5,9,9,1,15,8,20,1
3,7,9,11,12,4,8,2,14,5,5,9,9,1,8,8,10,1
3,7,7,11,13,4,15,2,14,5,5,9,9,1,15,5,20,1
3,5,9,11,13,4,9,2,14,5,5,9,9,1,8,8,20,1
3,7,7,11,13,4,8,2,16,5,7,9,9,1,8,5,1,1
6,7,7,11,13,4,9,2,16,5,7,9,9,1,15,5,1,1
3,7,8,11,12,4,9,2,16,5,7,9,9,1,15,5,10,1
3,5,9,11,13,4,15,2,14,5,5,9,9,1,15,5,10,1
4,5,9,11,13,4,15,2,14,5,5,9,9,1,8,8,20,1
3,7,8,11,1,8,15,2,2,5,5,9,9,1,8,18,19,0
3,5,9,11,1,8,15,2,2,5,5,9,9,1,15,18,19,0
4,7,7,11,12,4,9,2,14,5,5,9,9,1,15,5,20,1
6,6,10,6,8,4,8,11,2,5,5,9,9,2,8,12,10,1
4,5,9,11,12,4,9,2,14,5,5,9,9,1,8,8,10,1
3,5,7,11,13,4,15,2,14,5,5,9,9,1,15,8,10,1
3,7,8,11,12,4,1,2,16,5,7,9,9,1,15,7,1,1
5,6,10,6,8,8,15,2,2,5,5,9,9,1,8,18,19,1
4,7,7,11,12,4,15,2,14,5,5,9,9,1,8,5,20,1
4,5,7,11,13,4,10,2,14,5,5,9,9,1,8,5,20,1
4,7,7,11,13,4,10,2,14,5,5,9,9,1,8,8,20,1
4,7,9,11,13,4,8,2,14,5,5,9,9,1,8,5,10,1
6,5,8,6,8,4,15,11,2,5,5,9,9,2,15,12,10,1
3,5,9,11,13,4,8,2,14,5,5,9,9,1,15,5,10,1
6,7,7,11,12,4,9,2,16,5,7,9,9,1,8,5,10,1
3,7,7,11,12,4,9,2,14,5,5,9,9,1,15,8,10,1
3,6,10,6,8,8,1,2,2,5,5,9,9,1,8,18,19,1
6,6,7,11,13,8,1,11,4,5,5,9,9,1,8,18,21,1
4,7,9,11,13,4,10,2,14,5,5,9,9,1,8,5,20,1
6,6,7,11,13,8,9,11,4,5,5,9,9,1,8,18,21,1
3,7,8,11,12,4,1,2,16,5,7,9,9,1,15,5,1,1
4,5,7,11,12,4,15,2,14,5,5,9,9,1,15,5,10,1
6,5,7,11,13,8,1,11,4,5,5,9,9,1,8,18,21,1
3,5,9,11,13,8,8,11,4,5,5,9,9,1,19,18,21,1
6,7,8,11,13,4,1,2,16,5,7,9,9,1,8,7,1,1
3,7,8,11,1,8,9,2,2,5,5,9,9,1,8,18,19,0
6,7,8,11,12,4,8,2,16,5,7,9,9,1,8,7,10,1
3,5,8,6,8,4,15,11,2,6,5,9,9,2,8,5,10,1
3,7,9,11,1,8,9,2,2,5,5,9,9,1,15,5,10,0
6,6,10,6,8,8,8,2,2,5,5,9,9,1,8,7,19,1
3,6,10,6,8,4,8,11,2,5,5,9,9,2,8,5,10,1
3,7,7,11,13,4,9,2,16,5,7,9,9,1,15,5,10,1
3,5,8,6,8,4,15,11,2,5,5,9,9,2,15,5,10,1
4,5,9,11,12,4,9,2,14,5,5,9,9,1,15,5,10,1
3,5,9,11,13,4,8,2,14,5,5,9,9,1,8,5,10,1
6,7,8,11,13,4,9,2,16,5,7,9,9,1,15,7,10,1
5,6,8,6,8,8,8,2,2,5,5,9,9,1,8,18,19,1
3,6,8,6,8,8,8,2,2,5,5,9,9,1,8,7,19,1
4,5,9,11,13,4,15,2,14,5,5,9,9,1,15,5,10,1
3,7,7,11,12,4,10,2,14,5,5,9,9,1,15,5,10,1
3,7,7,11,13,4,10,2,14,5,5,9,9,1,15,8,20,1
3,5,8,6,8,4,8,11,2,5,5,9,9,2,8,12,10,1
3,5,9,11,12,4,10,2,14,5,5,9,9,1,8,5,10,1
6,7,8,11,13,4,1,2,16,5,7,9,9,1,8,5,10,1
3,5,7,11,12,4,8,2,14,5,5,9,9,1,15,8,10,1
4,5,9,11,12,4,10,2,14,5,5,9,9,1,8,5,10,1
3,7,9,11,12,4,10,2,14,5,5,9,9,1,15,5,10,1
3,6,8,6,8,4,1,11,2,6,5,9,9,2,15,5,10,1
4,5,7,11,13,4,8,2,14,5,5,9,9,1,15,8,10,1
6,7,7,11,13,4,9,2,16,5,7,9,9,1,8,5,10,1
3,7,7,11,12,4,8,2,16,5,7,9,9,1,15,7,1,1
4,7,9,11,13,4,10,2,14,5,5,9,9,1,8,8,10,1
3,7,7,11,12,4,8,2,14,5,5,9,9,1,15,8,20,1
3,7,7,11,12,4,9,2,16,5,7,9,9,1,8,7,10,1
4,7,9,11,13,4,8,2,14,5,5,9,9,1,15,5,20,1
4,7,9,11,12,4,10,2,14,5,5,9,9,1,8,5,20,1
3,5,7,11,12,4,15,2,14,5,5,9,9,1,15,8,20,1
3,5,7,11,13,4,9,2,14,5,5,9,9,1,15,8,10,1
5,6,10,6,8,8,10,2,2,5,5,9,9,1,15,7,19,1
3,6,9,11,12,8,9,11,4,5,5,9,9,1,19,18,21,1
3,5,7,11,12,4,8,2,14,5,5,9,9,1,15,8,20,1
3,7,9,11,1,8,8,2,2,5,5,9,9,1,8,18,19,0
3,7,7,11,13,4,1,2,16,5,7,9,9,1,8,5,10,1
5,6,10,6,8,8,1,2,2,5,5,9,9,1,8,7,19,1
3,7,7,11,13,4,9,2,16,5,7,9,9,1,15,7,10,1
3,5,7,11,13,8,1,11,4,5,5,9,9,1,19,18,21,1
5,6,8,6,8,8,15,2,2,5,5,9,9,1,8,7,19,1
3,5,9,11,1,8,15,2,2,5,5,9,9,1,15,18,10,0
3,7,9,11,12,4,10,2,14,5,5,9,9,1,8,8,20,1
6,7,8,11,1,8,1,2,2,5,5,9,9,1,15,18,10,0
6,5,10,6,8,4,15,11,2,5,5,9,9,2,8,12,10,1
3,5,7,11,13,4,10,2,14,5,5,9,9,1,8,5,20,1
3,5,9,6,8,4,8,11,2,5,6,9,9,2,15,5,10,1
4,5,7,11,12,4,9,2,14,5,5,9,9,1,8,8,10,1
6,6,10,6,8,4,22,11,2,5,5,9,9,2,8,12,10,1
3,5,9,11,13,4,8,2,14,5,5,9,9,1,15,8,10,1
4,5,9,11,13,4,8,2,14,5,5,9,9,1,8,5,20,1
4,5,9,11,13,4,9,2,14,5,5,9,9,1,8,5,10,1
4,7,9,11,13,4,9,2,14,5,5,9,9,1,8,5,20,1
6,5,9,11,13,8,9,11,4,5,5,9,9,1,19,18,21,1
3,7,7,11,13,4,10,2,14,5,5,9,9,1,15,5,20,1
6,5,9,11,12,8,1,11,4,5,5,9,9,1,8,18,21,1
3,7,9,11,1,8,9,2,2,5,5,9,9,1,8,18,19,0
6,6,9,11,13,8,9,11,4,5,5,9,9,1,8,18,21,1
